xMLBAMID,PlayerName,season,cluster_idx,cluster_label
677951,Bobby Witt Jr.,2025,4,Low K / High HR / High Contact
672695,Geraldo Perdomo,2025,6,Low K / Low HR / High Contact
607208,Trea Turner,2025,4,Low K / High HR / High Contact
682998,Corbin Carroll,2025,4,Low K / High HR / High Contact
608070,José Ramírez,2025,4,Low K / High HR / High Contact
596019,Francisco Lindor,2025,4,Low K / High HR / High Contact
665487,Fernando Tatis Jr.,2025,4,Low K / High HR / High Contact
665742,Juan Soto,2025,4,Low K / High HR / High Contact
677594,Julio Rodríguez,2025,4,Low K / High HR / High Contact
665161,Jeremy Peña,2025,4,Low K / High HR / High Contact
672580,Maikel Garcia,2025,6,Low K / Low HR / High Contact
543807,George Springer,2025,4,Low K / High HR / High Contact
621439,Byron Buxton,2025,5,Low K / High HR / Low Contact
641355,Cody Bellinger,2025,4,Low K / High HR / High Contact
663538,Nico Hoerner,2025,6,Low K / Low HR / High Contact
683002,Gunnar Henderson,2025,4,Low K / High HR / High Contact
672386,Alejandro Kirk,2025,6,Low K / Low HR / High Contact
606466,Ketel Marte,2025,4,Low K / High HR / High Contact
701762,Nick Kurtz,2025,5,Low K / High HR / Low Contact
691406,Junior Caminero,2025,5,Low K / High HR / Low Contact
663656,Kyle Tucker,2025,4,Low K / High HR / High Contact
668930,Brice Turang,2025,4,Low K / High HR / High Contact
669257,Will Smith,2025,4,Low K / High HR / High Contact
681624,Andy Pages,2025,4,Low K / High HR / High Contact
694671,Wyatt Langford,2025,4,Low K / High HR / High Contact
693307,Dillon Dingler,2025,4,Low K / High HR / High Contact
608369,Corey Seager,2025,4,Low K / High HR / High Contact
669065,Kyle Stowers,2025,5,Low K / High HR / Low Contact
680776,Jarren Duran,2025,1,High K / High HR / High Contact
518692,Freddie Freeman,2025,4,Low K / High HR / High Contact
665489,Vladimir Guerrero Jr.,2025,4,Low K / High HR / High Contact
666182,Bo Bichette,2025,6,Low K / Low HR / High Contact
678882,Ceddanne Rafaela,2025,4,Low K / High HR / High Contact
592518,Manny Machado,2025,4,Low K / High HR / High Contact
656305,Matt Chapman,2025,4,Low K / High HR / High Contact
661388,William Contreras,2025,4,Low K / High HR / High Contact
686217,Sal Frelick,2025,6,Low K / Low HR / High Contact
608324,Alex Bregman,2025,6,Low K / Low HR / High Contact
660670,Ronald Acuña Jr.,2025,5,Low K / High HR / Low Contact
691026,Masyn Winn,2025,6,Low K / Low HR / High Contact
547180,Bryce Harper,2025,4,Low K / High HR / High Contact
805779,Jacob Wilson,2025,6,Low K / Low HR / High Contact
605141,Mookie Betts,2025,6,Low K / Low HR / High Contact
696100,Hunter Goodman,2025,5,Low K / High HR / Low Contact
691016,Tyler Soderstrom,2025,4,Low K / High HR / High Contact
621020,Dansby Swanson,2025,1,High K / High HR / High Contact
593428,Xander Bogaerts,2025,6,Low K / Low HR / High Contact
672275,Patrick Bailey,2025,7,Low K / Low HR / Low Contact
676391,Ernie Clement,2025,6,Low K / Low HR / High Contact
664056,Harrison Bader,2025,1,High K / High HR / High Contact
680757,Steven Kwan,2025,6,Low K / Low HR / High Contact
656716,Zach McKinstry,2025,4,Low K / High HR / High Contact
663757,Trent Grisham,2025,5,Low K / High HR / Low Contact
647304,Josh Naylor,2025,4,Low K / High HR / High Contact
682928,CJ Abrams,2025,4,Low K / High HR / High Contact
686948,Drake Baldwin,2025,4,Low K / High HR / High Contact
681082,Bryson Stott,2025,6,Low K / Low HR / High Contact
700250,Ben Rice,2025,4,Low K / High HR / High Contact
669224,Austin Wells,2025,5,Low K / High HR / Low Contact
656811,Ryan O'Hearn,2025,4,Low K / High HR / High Contact
701538,Jackson Merrill,2025,4,Low K / High HR / High Contact
596115,Trevor Story,2025,1,High K / High HR / High Contact
607043,Brandon Nimmo,2025,4,Low K / High HR / High Contact
657656,Ramón Laureano,2025,5,Low K / High HR / Low Contact
694192,Jackson Chourio,2025,4,Low K / High HR / High Contact
571970,Max Muncy,2025,4,Low K / High HR / High Contact
630105,Jake Cronenworth,2025,6,Low K / Low HR / High Contact
650490,Yandy Díaz,2025,4,Low K / High HR / High Contact
670770,TJ Friedl,2025,6,Low K / Low HR / High Contact
680977,Brendan Donovan,2025,6,Low K / Low HR / High Contact
641487,J.P. Crawford,2025,6,Low K / Low HR / High Contact
575929,Willson Contreras,2025,1,High K / High HR / High Contact
701350,Roman Anthony,2025,1,High K / High HR / High Contact
672515,Gabriel Moreno,2025,4,Low K / High HR / High Contact
695657,Colson Montgomery,2025,5,Low K / High HR / Low Contact
671056,Iván Herrera,2025,4,Low K / High HR / High Contact
665966,Carlos Narváez,2025,4,Low K / High HR / High Contact
702332,Caleb Durbin,2025,6,Low K / Low HR / High Contact
593871,Jorge Polanco,2025,4,Low K / High HR / High Contact
